session_id,user_id,content_id,watch_date,watch_duration_minutes,completion_percentage,device_type,quality_level,created_at,session_duration_min,completion_rate
S144897,U3248,M189,2024-01-28,28,32.5,Tablet,HD,2025-09-17 01:06:31.876156,28,0.325
S089329,U1989,S070,2024-06-20,50,91.7,Mobile,SD,2025-09-17 01:06:31.876156,50,0.917
S134202,U2998,M166,2024-07-15,136,87.8,Tablet,HD,2025-09-17 01:06:31.876156,136,0.878
S197361,U4436,M013,2024-02-22,170,96.0,Smart Tv,4K,2025-09-17 01:06:31.876156,170,0.96
S214017,U4795,M094,2024-01-07,119,69.0,Mobile,SD,2025-09-17 01:06:31.876156,119,0.69
S005096,U0120,M050,2024-01-24,78,81.3,Tablet,4K,2025-09-17 01:06:31.876156,78,0.813
S035057,U0790,S094,2024-05-09,23,51.3,Tablet,HD,2025-09-17 01:06:31.876156,23,0.513
S212918,U4770,M051,2024-02-20,145,93.8,Tablet,HD,2025-09-17 01:06:31.876156,145,0.938
S134099,U2996,M194,2024-05-14,89,85.3,Smart Tv,HD,2025-09-17 01:06:31.876156,89,0.853
S074630,U1663,M027,2024-08-02,46,36.6,Tablet,HD,2025-09-17 01:06:31.876156,46,0.366
S024847,U0568,M186,2024-06-26,125,81.2,Smart Tv,HD,2025-09-17 01:06:31.876156,125,0.812
S002761,U0066,M030,2024-01-18,43,29.7,Smart Tv,SD,2025-09-17 01:06:31.876156,43,0.297
S191021,U4296,S058,2024-05-19,44,78.4,Desktop,HD,2025-09-17 01:06:31.876156,44,0.784
S172653,U3874,S050,2024-08-19,32,82.8,Tablet,4K,2025-09-17 01:06:31.876156,32,0.828
S144308,U3235,S080,2024-05-22,31,92.1,Mobile,SD,2025-09-17 01:06:31.876156,31,0.9209999999999999
S212514,U4759,M139,2024-08-14,98,76.5,Tablet,SD,2025-09-17 01:06:31.876156,98,0.765
S167205,U3751,S037,2024-03-21,31,80.0,Smart Tv,HD,2025-09-17 01:06:31.876156,31,0.8
S031232,U0707,M046,2024-08-03,147,100.0,Mobile,HD,2025-09-17 01:06:31.876156,147,1.0
S169924,U3815,M124,2024-06-01,22,14.8,Smart Tv,4K,2025-09-17 01:06:31.876156,22,0.14800000000000002
S039474,U0877,M125,2024-06-28,97,59.5,Smart Tv,HD,2025-09-17 01:06:31.876156,97,0.595
S117512,U2630,S081,2024-02-03,18,63.1,Mobile,SD,2025-09-17 01:06:31.876156,18,0.631
S082085,U1832,S057,2024-08-24,23,100.0,Tablet,HD,2025-09-17 01:06:31.876156,23,1.0
S214557,U4808,S054,2024-07-07,53,96.7,Smart Tv,HD,2025-09-17 01:06:31.876156,53,0.9670000000000001
S030131,U0680,S048,2024-03-07,19,66.9,Mobile,SD,2025-09-17 01:06:31.876156,19,0.669
S154503,U3461,S074,2024-04-11,40,85.3,Mobile,4K,2025-09-17 01:06:31.876156,40,0.853
S086284,U1927,S014,2024-08-13,55,93.2,Tablet,HD,2025-09-17 01:06:31.876156,55,0.932
S165322,U3703,M117,2024-03-23,130,76.8,Mobile,4K,2025-09-17 01:06:31.876156,130,0.768
S171197,U3840,M153,2024-02-21,131,73.6,Mobile,HD,2025-09-17 01:06:31.876156,131,0.736
S047336,U1065,M020,2024-03-26,17,16.5,Mobile,HD,2025-09-17 01:06:31.876156,17,0.165
S101069,U2260,M193,2024-07-27,78,87.1,Mobile,HD,2025-09-17 01:06:31.876156,78,0.871
S001150,U0029,M052,2024-02-14,93,78.1,Smart Tv,4K,2025-09-17 01:06:31.876156,93,0.7809999999999999
S052492,U1178,M141,2024-05-18,144,98.5,Mobile,SD,2025-09-17 01:06:31.876156,144,0.985
S149245,U3348,M119,2024-06-28,119,86.6,Mobile,HD,2025-09-17 01:06:31.876156,119,0.866
S116234,U2597,S053,2024-01-09,6,16.1,Desktop,HD,2025-09-17 01:06:31.876156,6,0.161
S101443,U2270,M073,2024-01-27,122,87.1,Mobile,SD,2025-09-17 01:06:31.876156,122,0.871
S188964,U4246,S063,2024-01-08,26,51.3,Mobile,HD,2025-09-17 01:06:31.876156,26,0.513
S190679,U4288,S034,2024-06-08,27,100.0,Mobile,HD,2025-09-17 01:06:31.876156,27,1.0
S012664,U0291,M119,2024-06-24,136,98.7,Tablet,4K,2025-09-17 01:06:31.876156,136,0.987
S063300,U1421,M119,2024-08-18,138,100.0,Gaming Console,HD,2025-09-17 01:06:31.876156,138,1.0
S173566,U3896,M183,2024-01-04,45,52.9,Mobile,HD,2025-09-17 01:06:31.876156,45,0.529
S172566,U3871,S028,2024-01-26,23,52.3,Smart Tv,4K,2025-09-17 01:06:31.876156,23,0.523
S186130,U4186,M059,2024-08-07,141,96.9,Mobile,HD,2025-09-17 01:06:31.876156,141,0.9690000000000001
S189850,U4268,M158,2024-04-08,112,65.2,Mobile,SD,2025-09-17 01:06:31.876156,112,0.652
S013155,U0303,S039,2024-02-09,35,67.9,Desktop,HD,2025-09-17 01:06:31.876156,35,0.679
S090188,U2009,S002,2024-01-20,20,100.0,Desktop,HD,2025-09-17 01:06:31.876156,20,1.0
S057189,U1282,M018,2024-08-23,18,22.0,Smart Tv,SD,2025-09-17 01:06:31.876156,18,0.22
S214929,U4817,M157,2024-07-27,102,100.0,Tablet,4K,2025-09-17 01:06:31.876156,102,1.0
S152667,U3420,M131,2024-04-02,88,50.0,Smart Tv,HD,2025-09-17 01:06:31.876156,88,0.5
S089838,U2000,M062,2024-07-08,20,14.7,Smart Tv,SD,2025-09-17 01:06:31.876156,20,0.147
S212419,U4757,M180,2024-01-07,165,100.0,Gaming Console,SD,2025-09-17 01:06:31.876156,165,1.0
S152595,U3419,M068,2024-01-19,157,93.5,Desktop,HD,2025-09-17 01:06:31.876156,157,0.935
S023707,U0539,M077,2024-08-14,50,50.1,Mobile,HD,2025-09-17 01:06:31.876156,50,0.501
S109550,U2450,M063,2024-04-28,93,90.3,Desktop,HD,2025-09-17 01:06:31.876156,93,0.903
S042747,U0953,M194,2024-04-23,97,92.6,Mobile,4K,2025-09-17 01:06:31.876156,97,0.9259999999999999
S048301,U1086,S058,2024-08-17,46,80.9,Tablet,HD,2025-09-17 01:06:31.876156,46,0.809
S086928,U1940,M136,2024-04-06,71,71.4,Smart Tv,HD,2025-09-17 01:06:31.876156,71,0.7140000000000001
S206842,U4643,M178,2024-07-02,146,86.9,Mobile,HD,2025-09-17 01:06:31.876156,146,0.8690000000000001
S207982,U4665,S011,2024-01-29,38,98.9,Tablet,HD,2025-09-17 01:06:31.876156,38,0.9890000000000001
S028707,U0647,M141,2024-01-22,112,76.8,Smart Tv,4K,2025-09-17 01:06:31.876156,112,0.768
S103442,U2313,M104,2024-07-01,30,28.3,Smart Tv,HD,2025-09-17 01:06:31.876156,30,0.28300000000000003
S151066,U3387,S042,2024-06-12,49,96.5,Mobile,SD,2025-09-17 01:06:31.876156,49,0.965
S046061,U1034,M092,2024-08-15,99,68.3,Smart Tv,4K,2025-09-17 01:06:31.876156,99,0.6829999999999999
S183406,U4126,M052,2024-02-01,89,74.2,Desktop,HD,2025-09-17 01:06:31.876156,89,0.742
S135508,U3035,S093,2024-07-04,33,71.0,Smart Tv,HD,2025-09-17 01:06:31.876156,33,0.71
S085236,U1906,M060,2024-08-23,112,92.4,Tablet,HD,2025-09-17 01:06:31.876156,112,0.924
S084250,U1887,M106,2024-01-08,65,70.2,Smart Tv,SD,2025-09-17 01:06:31.876156,65,0.7020000000000001
S160930,U3603,S059,2024-05-15,21,80.8,Smart Tv,4K,2025-09-17 01:06:31.876156,21,0.8079999999999999
S128969,U2885,M061,2024-03-24,99,100.0,Mobile,HD,2025-09-17 01:06:31.876156,99,1.0
S058741,U1323,S083,2024-03-15,40,76.4,Smart Tv,SD,2025-09-17 01:06:31.876156,40,0.764
S022306,U0504,M118,2024-03-25,116,94.5,Smart Tv,4K,2025-09-17 01:06:31.876156,116,0.945
S049268,U1107,S042,2024-06-19,44,87.9,Smart Tv,4K,2025-09-17 01:06:31.876156,44,0.879
S108280,U2420,S006,2024-07-10,25,84.0,Desktop,4K,2025-09-17 01:06:31.876156,25,0.84
S007256,U0165,M099,2024-08-31,159,100.0,Smart Tv,SD,2025-09-17 01:06:31.876156,159,1.0
S152291,U3410,M161,2024-07-14,17,16.7,Mobile,HD,2025-09-17 01:06:31.876156,17,0.16699999999999998
S039846,U0886,S003,2024-05-17,21,49.9,Smart Tv,HD,2025-09-17 01:06:31.876156,21,0.499
S204494,U4593,S010,2024-03-07,29,58.5,Mobile,HD,2025-09-17 01:06:31.876156,29,0.585
S053428,U1202,M139,2024-03-18,76,59.4,Desktop,4K,2025-09-17 01:06:31.876156,76,0.594
S113953,U2547,M140,2024-03-24,96,89.5,Smart Tv,HD,2025-09-17 01:06:31.876156,96,0.895
S139527,U3128,S021,2024-05-28,34,76.8,Smart Tv,SD,2025-09-17 01:06:31.876156,34,0.768
S118809,U2660,S011,2024-06-17,34,89.4,Tablet,SD,2025-09-17 01:06:31.876156,34,0.894
S166324,U3728,S082,2024-01-27,43,94.9,Mobile,4K,2025-09-17 01:06:31.876156,43,0.9490000000000001
S002571,U0061,M048,2024-07-11,80,77.1,Mobile,HD,2025-09-17 01:06:31.876156,80,0.7709999999999999
S049798,U1118,M194,2024-05-02,102,97.7,Mobile,SD,2025-09-17 01:06:31.876156,102,0.977
S133808,U2992,M157,2024-02-17,102,100.0,Smart Tv,4K,2025-09-17 01:06:31.876156,102,1.0
S002368,U0055,M108,2024-04-06,114,100.0,Smart Tv,4K,2025-09-17 01:06:31.876156,114,1.0
S217558,U4874,M169,2024-06-11,113,72.3,Mobile,HD,2025-09-17 01:06:31.876156,113,0.723
S157915,U3531,M084,2024-07-27,115,82.2,Mobile,4K,2025-09-17 01:06:31.876156,115,0.8220000000000001
S048040,U1079,S090,2024-03-04,40,82.0,Smart Tv,4K,2025-09-17 01:06:31.876156,40,0.82
S107468,U2400,M046,2024-04-23,99,67.8,Gaming Console,SD,2025-09-17 01:06:31.876156,99,0.6779999999999999
S159148,U3559,S079,2024-03-10,38,82.9,Smart Tv,HD,2025-09-17 01:06:31.876156,38,0.8290000000000001
S020438,U0463,M111,2024-03-27,62,64.3,Mobile,HD,2025-09-17 01:06:31.876156,62,0.643
S197660,U4441,M190,2024-08-10,118,100.0,Smart Tv,HD,2025-09-17 01:06:31.876156,118,1.0
S185820,U4177,M178,2024-06-26,140,83.3,Mobile,HD,2025-09-17 01:06:31.876156,140,0.833
S179999,U4045,M114,2024-07-27,29,19.3,Mobile,SD,2025-09-17 01:06:31.876156,29,0.193
S221279,U4965,S027,2024-03-08,46,93.2,Tablet,4K,2025-09-17 01:06:31.876156,46,0.932
S024281,U0553,M153,2024-08-17,179,100.0,Mobile,HD,2025-09-17 01:06:31.876156,179,1.0
S046976,U1056,M111,2024-07-21,97,100.0,Mobile,HD,2025-09-17 01:06:31.876156,97,1.0
S101044,U2259,M068,2024-05-10,135,80.3,Smart Tv,HD,2025-09-17 01:06:31.876156,135,0.8029999999999999
S133463,U2981,S038,2024-07-22,47,91.2,Mobile,HD,2025-09-17 01:06:31.876156,47,0.912
S139409,U3125,S029,2024-06-02,32,76.3,Gaming Console,HD,2025-09-17 01:06:31.876156,32,0.763
S012413,U0288,M138,2024-04-12,133,90.9,Smart Tv,HD,2025-09-17 01:06:31.876156,133,0.909
S050741,U1138,M150,2024-01-12,91,74.6,Smart Tv,HD,2025-09-17 01:06:31.876156,91,0.746
S113601,U2540,S096,2024-03-16,42,70.6,Desktop,HD,2025-09-17 01:06:31.876156,42,0.706
S179874,U4042,S059,2024-07-29,25,95.5,Mobile,HD,2025-09-17 01:06:31.876156,25,0.955
S177610,U3982,M015,2024-08-18,120,68.1,Smart Tv,SD,2025-09-17 01:06:31.876156,120,0.6809999999999999
S188314,U4235,S064,2024-03-13,35,96.4,Mobile,SD,2025-09-17 01:06:31.876156,35,0.9640000000000001
S164038,U3677,M017,2024-06-21,86,89.3,Smart Tv,4K,2025-09-17 01:06:31.876156,86,0.893
S099632,U2221,S002,2024-03-25,13,67.6,Mobile,HD,2025-09-17 01:06:31.876156,13,0.6759999999999999
S172630,U3873,S082,2024-01-14,46,100.0,Smart Tv,HD,2025-09-17 01:06:31.876156,46,1.0
S044414,U0995,S001,2024-05-28,31,62.2,Smart Tv,HD,2025-09-17 01:06:31.876156,31,0.622
S016882,U0383,M004,2024-02-22,107,73.8,Smart Tv,HD,2025-09-17 01:06:31.876156,107,0.738
S151050,U3387,M012,2024-03-29,97,93.8,Mobile,4K,2025-09-17 01:06:31.876156,97,0.938
S205281,U4607,M131,2024-01-19,95,53.8,Desktop,4K,2025-09-17 01:06:31.876156,95,0.5379999999999999
S127472,U2851,M043,2024-06-01,121,90.5,Desktop,4K,2025-09-17 01:06:31.876156,121,0.905
S188622,U4241,S024,2024-04-06,31,65.9,Smart Tv,SD,2025-09-17 01:06:31.876156,31,0.659
S183702,U4133,S097,2024-07-04,28,71.2,Smart Tv,4K,2025-09-17 01:06:31.876156,28,0.7120000000000001
S051789,U1164,M181,2024-04-01,41,32.9,Desktop,SD,2025-09-17 01:06:31.876156,41,0.32899999999999996
S011780,U0274,M186,2024-07-24,87,56.6,Smart Tv,HD,2025-09-17 01:06:31.876156,87,0.5660000000000001
S070668,U1572,M132,2024-05-10,102,96.4,Tablet,4K,2025-09-17 01:06:31.876156,102,0.9640000000000001
S059083,U1331,M050,2024-08-13,80,84.1,Mobile,HD,2025-09-17 01:06:31.876156,80,0.841
S002317,U0053,M191,2024-06-16,112,81.2,Desktop,4K,2025-09-17 01:06:31.876156,112,0.812
S089369,U1990,M197,2024-07-13,20,13.0,Mobile,HD,2025-09-17 01:06:31.876156,20,0.13
S058545,U1318,M166,2024-04-11,118,76.4,Smart Tv,HD,2025-09-17 01:06:31.876156,118,0.764
S152154,U3407,M022,2024-06-01,147,100.0,Smart Tv,4K,2025-09-17 01:06:31.876156,147,1.0
S071965,U1601,S041,2024-08-09,32,96.0,Tablet,4K,2025-09-17 01:06:31.876156,32,0.96
S103182,U2309,S069,2024-01-24,39,80.3,Desktop,HD,2025-09-17 01:06:31.876156,39,0.8029999999999999
S120856,U2701,M076,2024-04-21,166,100.0,Smart Tv,HD,2025-09-17 01:06:31.876156,166,1.0
S195089,U4386,M196,2024-07-16,63,63.1,Desktop,4K,2025-09-17 01:06:31.876156,63,0.631
S106428,U2377,S050,2024-01-26,38,99.2,Tablet,HD,2025-09-17 01:06:31.876156,38,0.992
S091806,U2039,M136,2024-03-19,26,26.1,Smart Tv,HD,2025-09-17 01:06:31.876156,26,0.261
S151215,U3389,M049,2024-07-22,104,83.3,Desktop,SD,2025-09-17 01:06:31.876156,104,0.833
S053667,U1208,S036,2024-07-06,6,19.9,Mobile,SD,2025-09-17 01:06:31.876156,6,0.19899999999999998
S035026,U0790,S058,2024-04-08,48,84.5,Gaming Console,4K,2025-09-17 01:06:31.876156,48,0.845
S197493,U4438,M094,2024-03-28,116,67.6,Desktop,4K,2025-09-17 01:06:31.876156,116,0.6759999999999999
S132522,U2960,S012,2024-05-05,34,100.0,Mobile,HD,2025-09-17 01:06:31.876156,34,1.0
S190164,U4276,M021,2024-04-02,110,74.5,Desktop,HD,2025-09-17 01:06:31.876156,110,0.745
S061820,U1387,M178,2024-03-04,164,97.6,Mobile,HD,2025-09-17 01:06:31.876156,164,0.976
S121169,U2710,M051,2024-04-10,147,94.9,Tablet,4K,2025-09-17 01:06:31.876156,147,0.9490000000000001
S036334,U0816,M151,2024-08-30,98,66.9,Mobile,SD,2025-09-17 01:06:31.876156,98,0.669
S007628,U0174,M101,2024-03-10,104,68.9,Desktop,HD,2025-09-17 01:06:31.876156,104,0.6890000000000001
S061470,U1379,S074,2024-06-24,43,92.9,Tablet,SD,2025-09-17 01:06:31.876156,43,0.929
S150431,U3374,M039,2024-04-19,91,89.0,Tablet,HD,2025-09-17 01:06:31.876156,91,0.89
S194235,U4365,M085,2024-08-16,123,82.4,Smart Tv,SD,2025-09-17 01:06:31.876156,123,0.8240000000000001
S057450,U1290,S100,2024-02-11,39,100.0,Smart Tv,SD,2025-09-17 01:06:31.876156,39,1.0
S035799,U0804,S011,2024-06-11,36,92.8,Smart Tv,HD,2025-09-17 01:06:31.876156,36,0.9279999999999999
S218296,U4889,M097,2024-03-13,116,89.3,Mobile,SD,2025-09-17 01:06:31.876156,116,0.893
S198844,U4468,M102,2024-05-07,145,99.2,Smart Tv,HD,2025-09-17 01:06:31.876156,145,0.992
S008839,U0205,M120,2024-05-25,104,100.0,Mobile,HD,2025-09-17 01:06:31.876156,104,1.0
S214057,U4796,M008,2024-02-22,145,93.7,Smart Tv,4K,2025-09-17 01:06:31.876156,145,0.937
S113297,U2530,S007,2024-05-11,47,82.2,Mobile,HD,2025-09-17 01:06:31.876156,47,0.8220000000000001
S082285,U1839,M104,2024-04-19,73,67.1,Smart Tv,HD,2025-09-17 01:06:31.876156,73,0.6709999999999999
S110443,U2466,M180,2024-07-28,94,57.3,Smart Tv,SD,2025-09-17 01:06:31.876156,94,0.573
S050869,U1141,M056,2024-02-11,75,85.5,Mobile,HD,2025-09-17 01:06:31.876156,75,0.855
S211784,U4744,M162,2024-07-31,111,95.9,Tablet,HD,2025-09-17 01:06:31.876156,111,0.9590000000000001
S095479,U2126,S083,2024-07-27,53,100.0,Mobile,HD,2025-09-17 01:06:31.876156,53,1.0
S065676,U1469,M021,2024-04-25,119,80.4,Mobile,SD,2025-09-17 01:06:31.876156,119,0.804
S169054,U3796,M133,2024-05-14,95,77.7,Smart Tv,HD,2025-09-17 01:06:31.876156,95,0.777
S114996,U2573,M192,2024-04-08,123,87.9,Mobile,HD,2025-09-17 01:06:31.876156,123,0.879
S003383,U0081,M025,2024-06-04,109,67.6,Smart Tv,4K,2025-09-17 01:06:31.876156,109,0.6759999999999999
S057416,U1288,S070,2024-07-10,32,58.2,Smart Tv,SD,2025-09-17 01:06:31.876156,32,0.5820000000000001
S063803,U1434,M014,2024-03-18,100,82.6,Smart Tv,HD,2025-09-17 01:06:31.876156,100,0.826
S162046,U3631,M060,2024-03-09,122,100.0,Tablet,HD,2025-09-17 01:06:31.876156,122,1.0
S113174,U2528,M045,2024-01-24,55,45.5,Mobile,4K,2025-09-17 01:06:31.876156,55,0.455
S142832,U3204,S008,2024-06-05,27,97.8,Smart Tv,SD,2025-09-17 01:06:31.876156,27,0.978
S176910,U3968,S082,2024-05-08,43,94.2,Smart Tv,4K,2025-09-17 01:06:31.876156,43,0.9420000000000001
S175671,U3938,M194,2024-05-25,105,100.0,Smart Tv,SD,2025-09-17 01:06:31.876156,105,1.0
S099473,U2216,S024,2024-02-29,40,85.2,Mobile,HD,2025-09-17 01:06:31.876156,40,0.852
S167794,U3763,M124,2024-04-21,151,100.0,Desktop,HD,2025-09-17 01:06:31.876156,151,1.0
S083374,U1866,M162,2024-07-21,116,100.0,Smart Tv,4K,2025-09-17 01:06:31.876156,116,1.0
S044428,U0995,S083,2024-03-01,52,98.7,Mobile,HD,2025-09-17 01:06:31.876156,52,0.987
S077073,U1717,S093,2024-05-27,24,52.1,Mobile,4K,2025-09-17 01:06:31.876156,24,0.521
S211314,U4733,M166,2024-08-03,120,77.9,Smart Tv,HD,2025-09-17 01:06:31.876156,120,0.779
S079981,U1785,M190,2024-01-30,95,80.8,Tablet,HD,2025-09-17 01:06:31.876156,95,0.8079999999999999
S085460,U1910,S055,2024-05-15,55,94.4,Desktop,SD,2025-09-17 01:06:31.876156,55,0.9440000000000001
S017407,U0394,M034,2024-01-30,138,91.9,Desktop,SD,2025-09-17 01:06:31.876156,138,0.919
S206248,U4631,S005,2024-06-13,27,95.1,Smart Tv,4K,2025-09-17 01:06:31.876156,27,0.951
S126979,U2839,M189,2024-08-04,89,100.0,Smart Tv,4K,2025-09-17 01:06:31.876156,89,1.0
S013932,U0323,M108,2024-08-22,13,11.8,Desktop,HD,2025-09-17 01:06:31.876156,13,0.11800000000000001
S004574,U0108,S057,2024-04-29,19,85.5,Smart Tv,HD,2025-09-17 01:06:31.876156,19,0.855
S060690,U1365,M132,2024-06-14,103,98.1,Mobile,HD,2025-09-17 01:06:31.876156,103,0.981
S183940,U4138,M101,2024-06-20,119,78.5,Desktop,HD,2025-09-17 01:06:31.876156,119,0.785
S141766,U3181,M112,2024-06-05,138,82.7,Smart Tv,HD,2025-09-17 01:06:31.876156,138,0.8270000000000001
S109176,U2441,M139,2024-08-14,91,70.8,Mobile,HD,2025-09-17 01:06:31.876156,91,0.708
S048568,U1092,S063,2024-03-15,39,77.6,Mobile,HD,2025-09-17 01:06:31.876156,39,0.7759999999999999
S130240,U2909,S012,2024-07-20,34,100.0,Smart Tv,4K,2025-09-17 01:06:31.876156,34,1.0
S043249,U0967,S092,2024-03-31,58,100.0,Mobile,SD,2025-09-17 01:06:31.876156,58,1.0
S084705,U1897,M017,2024-03-18,87,90.0,Smart Tv,HD,2025-09-17 01:06:31.876156,87,0.9
S115531,U2583,M081,2024-07-08,145,92.1,Mobile,HD,2025-09-17 01:06:31.876156,145,0.9209999999999999
S142518,U3197,M039,2024-08-30,70,68.1,Desktop,HD,2025-09-17 01:06:31.876156,70,0.6809999999999999
S219065,U4908,S062,2024-06-02,54,100.0,Desktop,HD,2025-09-17 01:06:31.876156,54,1.0
S015126,U0349,S029,2024-03-11,28,68.9,Mobile,HD,2025-09-17 01:06:31.876156,28,0.6890000000000001
S162996,U3655,S017,2024-03-24,38,100.0,Smart Tv,4K,2025-09-17 01:06:31.876156,38,1.0
S010654,U0250,S006,2024-08-31,11,37.3,Smart Tv,4K,2025-09-17 01:06:31.876156,11,0.373
S159882,U3575,S041,2024-07-11,25,75.1,Smart Tv,HD,2025-09-17 01:06:31.876156,25,0.7509999999999999
S070012,U1556,M118,2024-06-13,101,82.8,Smart Tv,4K,2025-09-17 01:06:31.876156,101,0.828
S127202,U2844,S091,2024-01-14,19,70.7,Smart Tv,HD,2025-09-17 01:06:31.876156,19,0.7070000000000001
S067049,U1499,M041,2024-05-21,103,88.3,Mobile,SD,2025-09-17 01:06:31.876156,103,0.883
