user_id,sessions_count,avg_duration,duration_std,avg_completion,completion_std,unique_content,age,subscription_type,country,subscription_numeric,cluster_kmeans
U00052,7,58.714285714285715,35.6403997626022,62.06349206349206,34.99223059814821,7,66.0,Premium,Chile,3,2
U00053,4,70.0,32.99494910841153,75.83333333333334,34.692950624662465,4,40.0,Basic,Argentina,1,2
U00054,5,67.6,39.57019080065195,68.44444444444444,36.38443569019351,5,19.0,Standard,Mexico,2,2
U00055,7,68.28571428571429,21.799956312756574,75.39682539682539,23.617568366944834,7,23.0,Basic,Chile,1,2
U00056,6,47.5,42.103444039650725,48.333333333333336,38.97292507483739,6,73.0,Basic,Peru,1,2
U00057,6,55.5,32.32800643405034,57.77777777777777,28.38013563683994,6,22.0,Standard,Peru,2,2
U00058,5,72.0,39.05764969887461,73.77777777777779,37.42152282270686,5,33.0,Premium,Chile,3,2
U00059,4,51.5,25.993588953175873,57.22222222222223,28.88176550352875,4,23.0,Standard,Brazil,2,2
U00060,3,46.333333333333336,32.00520790954705,51.48148148148149,35.56134212171895,3,77.0,Standard,Brazil,2,2
U00061,2,66.0,7.0710678118654755,73.33333333333334,7.856742013183858,2,37.0,Standard,Chile,2,1
U00062,10,61.3,27.166359916468586,65.33333333333333,25.35779628925712,9,56.0,Premium,Argentina,3,2
U00063,3,64.0,35.156791662493895,71.11111111111111,39.063101847215435,3,45.0,Standard,Mexico,2,2
U00064,5,57.0,28.827070610799147,60.666666666666664,26.98422035464705,5,48.0,Premium,Brazil,3,2
U00065,4,38.5,19.087517736293876,42.77777777777777,21.20835304032653,4,77.0,Basic,Argentina,1,0
U00066,5,43.8,23.32809465001375,48.666666666666664,25.92010516668194,5,66.0,Basic,Peru,1,0
U00067,1,71.0,0.0,78.88888888888889,0.0,1,22.0,Premium,Brazil,3,1
U00068,2,58.5,12.020815280171307,65.0,13.356461422412563,2,58.0,Basic,Brazil,1,1
U00069,4,76.0,26.558112382722786,79.72222222222223,22.93980313562509,4,71.0,Standard,Chile,2,1
U00070,1,86.0,0.0,95.55555555555556,0.0,1,66.0,Basic,Peru,1,1
U00071,5,44.6,24.511221919765646,49.55555555555556,27.23469102196183,5,37.0,Standard,Peru,2,2
U00072,5,77.8,30.48278202526797,82.0,29.66271301162246,5,42.0,Basic,Peru,1,1
U00073,6,54.333333333333336,31.34113378081059,60.18518518518518,34.56549815280319,6,71.0,Standard,Colombia,2,2
U00074,3,66.66666666666667,44.185216230469365,65.55555555555556,36.226311970891345,3,53.0,Standard,Argentina,2,2
U00075,6,35.666666666666664,39.60639678974429,38.7037037037037,42.37059699499093,6,65.0,Standard,Brazil,2,2
U00076,5,59.6,44.354255714643664,58.44444444444444,38.66283505919884,5,50.0,Standard,Brazil,2,2
U00077,3,55.333333333333336,25.006665778014735,61.481481481481474,27.785184197794155,3,63.0,Standard,Peru,2,1
U00078,5,63.0,39.08964057138413,67.33333333333333,40.41146396448769,5,71.0,Premium,Brazil,3,2
U00079,7,67.14285714285714,35.61567338232131,70.7936507936508,34.7105271309668,7,38.0,Standard,Chile,2,2
U00080,6,69.66666666666667,37.211109452241104,70.18518518518518,32.62519413246563,6,65.0,Basic,Brazil,1,2
U00081,3,30.666666666666668,33.17127271199182,34.074074074074076,36.85696967999092,3,66.0,Basic,Chile,1,0
U00082,5,63.2,54.80602156697747,61.33333333333333,51.96390009978318,5,47.0,Premium,Colombia,3,2
U00083,9,49.888888888888886,41.14743140356529,50.98765432098765,39.00160033296372,9,52.0,Standard,Colombia,2,2
U00084,5,72.0,37.21558813185679,72.0,31.30297978164182,5,46.0,Standard,Colombia,2,2
U00085,6,94.33333333333333,25.656708024738222,91.48148148148148,20.866023734819667,6,52.0,Premium,Chile,3,1
U00086,3,49.333333333333336,42.217689815210555,54.81481481481481,46.90854423912283,3,78.0,Basic,Argentina,1,2
U00087,7,55.142857142857146,40.39153612424502,56.19047619047619,37.4817219809504,7,20.0,Basic,Argentina,1,2
U00088,7,45.142857142857146,29.054136661461087,50.15873015873016,32.282374068290096,7,71.0,Standard,Peru,2,2
U00089,4,42.5,39.26406329796582,45.83333333333333,41.1698779174365,4,67.0,Standard,Peru,2,2
U00090,4,67.0,24.939927826679853,72.77777777777777,25.21512381757826,4,19.0,Basic,Mexico,1,1
U00091,6,55.5,32.11697370550345,59.25925925925926,31.674787782556,6,57.0,Standard,Brazil,2,2
U00092,6,65.33333333333333,34.8578063949335,67.77777777777777,31.442677610353762,6,65.0,Standard,Mexico,2,2
U00093,2,82.5,51.61879502661797,75.55555555555556,34.569664858009,2,43.0,Premium,Argentina,3,1
U00094,4,63.75,54.609980772748855,59.44444444444444,47.70019540814596,4,77.0,Standard,Argentina,2,2
U00095,8,40.875,30.497950750829144,44.861111111111114,32.799629519996564,8,62.0,Basic,Peru,1,2
U00096,5,73.6,40.66079192539171,70.44444444444444,31.027665870682508,5,29.0,Premium,Chile,3,2
U00097,3,58.666666666666664,24.583192089989723,65.18518518518519,27.314657877766365,3,49.0,Standard,Peru,2,1
U00098,5,77.6,41.59687488261588,77.11111111111111,38.03507153492243,5,42.0,Basic,Peru,1,2
U00099,6,39.666666666666664,40.1081870279207,39.07407407407407,33.239992769878334,6,39.0,Standard,Peru,2,2
U00100,3,80.0,24.43358344574123,85.92592592592592,24.377011365784202,3,69.0,Basic,Peru,1,1
U00101,2,43.0,2.8284271247461903,47.77777777777778,3.1426968052735433,2,50.0,Premium,Chile,3,0
U00102,4,52.25,48.55495168706621,51.388888888888886,43.22755370336095,4,22.0,Standard,Peru,2,2
U00103,5,79.6,21.384573879317774,83.55555555555556,16.985832876798195,5,52.0,Standard,Chile,2,1
U00104,8,57.0,48.13671007809795,56.111111111111114,44.241600603796996,8,30.0,Premium,Mexico,3,2
U00105,5,71.0,23.0,74.0,14.690216783145253,5,36.0,Standard,Brazil,2,1
U00106,9,58.22222222222222,36.92823370328514,61.72839506172839,36.73441179061119,8,75.0,Basic,Colombia,1,2
U00107,13,58.53846153846154,32.464378901126345,61.452991452991455,30.18933605424292,13,79.0,Premium,Argentina,3,2
U00108,3,64.33333333333333,46.317743180484655,66.66666666666667,45.79880854561099,3,75.0,Premium,Mexico,3,2
U00109,5,55.2,44.42071588797281,56.0,41.645179644879924,5,79.0,Basic,Argentina,1,2
U00110,3,33.666666666666664,32.50128202599604,37.40740740740741,36.11253558444004,3,70.0,Standard,Colombia,2,0
U00111,3,72.0,38.50973902793941,72.5925925925926,32.51463741287199,3,22.0,Standard,Brazil,2,1
U00112,4,96.5,41.68532915387218,84.44444444444444,31.11111111111111,4,43.0,Basic,Colombia,1,1
U00113,6,57.0,36.32629901324934,59.25925925925926,33.63321893066229,6,74.0,Basic,Chile,1,2
U00114,5,72.0,45.0832563153994,70.88888888888889,41.24901794566122,4,64.0,Basic,Peru,1,2
U00115,3,82.0,31.480152477394387,81.11111111111111,18.88888888888889,3,33.0,Basic,Colombia,1,1
U00116,1,16.0,0.0,17.77777777777778,0.0,1,53.0,Basic,Peru,1,0
U00117,4,83.0,15.534906930308056,88.88888888888889,12.439152313886414,4,75.0,Standard,Colombia,2,1
U00118,8,72.25,26.692695630078276,77.77777777777777,26.98225950587401,8,51.0,Basic,Mexico,1,2
U00119,3,48.0,19.519221295943137,53.333333333333336,21.68802366215904,3,36.0,Standard,Argentina,2,0
U00120,4,52.0,53.028294334251406,50.27777777777778,47.4569330427827,4,62.0,Basic,Mexico,1,2
U00121,8,46.625,32.91954478074429,50.69444444444444,34.68140457987763,8,44.0,Premium,Chile,3,2
U00122,3,23.0,11.789826122551595,25.555555555555554,13.099806802835108,3,52.0,Standard,Argentina,2,0
U00123,6,48.333333333333336,48.78387711802606,46.85185185185185,44.140162091512764,6,60.0,Premium,Brazil,3,2
U00124,4,54.5,10.376254944182254,60.55555555555556,11.529172160202503,4,50.0,Standard,Brazil,2,0
U00125,7,60.57142857142857,36.92721283307268,63.96825396825397,37.023277867531355,7,46.0,Basic,Peru,1,2
U00126,5,86.4,24.97598846892751,87.55555555555556,17.662822782386044,5,68.0,Standard,Argentina,2,1
U00127,5,59.0,31.448370387032774,65.55555555555556,34.94263376336975,5,25.0,Basic,Mexico,1,2
U00128,3,61.0,16.09347693943108,67.77777777777779,17.881641043812316,3,79.0,Premium,Argentina,3,1
U00129,8,38.375,33.8903167797023,41.52777777777778,35.49070226256374,8,75.0,Standard,Colombia,2,2
U00130,4,54.5,44.62062303464621,53.05555555555556,35.97409905013795,4,46.0,Basic,Argentina,1,2
U00131,5,48.6,46.98191141279801,48.66666666666667,43.57057564146239,5,78.0,Basic,Mexico,1,2
U00132,8,53.25,45.61563015333357,53.47222222222222,42.804825503904965,8,52.0,Premium,Chile,3,2
U00133,7,37.142857142857146,17.83655956575867,41.26984126984127,19.818399517509636,7,41.0,Premium,Colombia,3,0
U00134,6,30.5,28.083803161252927,33.888888888888886,31.204225734725476,6,66.0,Standard,Argentina,2,0
U00135,7,35.857142857142854,38.744584875087476,39.84126984126984,43.0495387500972,7,34.0,Standard,Chile,2,2
U00136,4,37.5,28.629821282478634,41.666666666666664,31.810912536087372,4,39.0,Basic,Brazil,1,0
U00137,3,64.33333333333333,33.50124375800596,71.48148148148148,37.22360417556217,3,53.0,Basic,Argentina,1,2
U00138,4,47.0,35.4964786985977,51.11111111111111,37.49348365879634,4,26.0,Basic,Peru,1,2
U00139,4,73.75,45.87937081812115,71.11111111111111,39.34651379916839,4,69.0,Standard,Colombia,2,2
U00140,10,54.0,33.30665599145812,56.777777777777786,31.598692476986194,9,52.0,Standard,Chile,2,2
U00141,3,99.0,11.532562594670797,100.0,0.0,3,40.0,Standard,Colombia,2,1
U00142,4,92.75,30.03747659175118,88.33333333333333,19.148542155126762,4,59.0,Premium,Peru,3,1
U00143,2,52.5,20.506096654409877,58.33333333333333,22.784551838233195,2,75.0,Standard,Colombia,2,0
U00144,2,62.0,12.727922061357855,68.88888888888889,14.142135623730944,2,28.0,Basic,Chile,1,1
U00145,5,90.4,4.449719092257398,98.22222222222223,1.6850834320114527,5,27.0,Premium,Argentina,3,1
U00146,6,68.5,35.90403877003254,72.77777777777777,36.459007930266814,6,55.0,Basic,Colombia,1,2
U00147,9,72.44444444444444,33.22691345547729,72.8395061728395,27.040841944343835,9,59.0,Basic,Brazil,1,2
U00148,5,52.8,40.83748278236552,52.88888888888889,34.80634254674686,5,19.0,Basic,Colombia,1,2
U00149,5,61.8,28.472794032198525,67.55555555555556,30.076035331049997,4,65.0,Premium,Peru,3,2
U00150,5,82.6,31.777350424476865,83.11111111111111,27.06188609488159,5,24.0,Premium,Chile,3,1
U00151,2,109.5,2.1213203435596424,100.0,0.0,2,23.0,Standard,Brazil,2,1
U00152,4,82.75,25.863423336183992,83.88888888888889,18.62561623804468,4,56.0,Standard,Mexico,2,1
U00153,1,50.0,0.0,55.55555555555556,0.0,1,56.0,Standard,Colombia,2,0
U00154,1,96.0,0.0,100.0,0.0,1,67.0,Standard,Mexico,2,1
U00155,7,73.71428571428571,33.345235970146646,73.17460317460316,26.600446880652978,7,45.0,Standard,Argentina,2,2
U00156,4,37.0,21.939310229205777,41.111111111111114,24.3770113657842,4,20.0,Standard,Peru,2,0
U00157,5,58.8,33.32716609614445,65.33333333333333,37.0301845512716,5,77.0,Basic,Argentina,1,2
U00158,5,88.4,24.11016383187804,88.22222222222221,18.114859871060226,5,23.0,Premium,Colombia,3,1
U00159,1,39.0,0.0,43.333333333333336,0.0,1,62.0,Basic,Colombia,1,0
U00160,7,52.714285714285715,35.54674990166371,56.82539682539682,37.081983309750264,7,71.0,Premium,Chile,3,2
U00161,5,67.2,34.71599055190562,68.22222222222221,27.717712837430717,5,53.0,Standard,Chile,2,2
U00162,3,67.66666666666667,19.2180470738661,75.18518518518518,21.353385637628996,3,58.0,Basic,Argentina,1,1
U00163,4,48.25,46.55731235083629,47.22222222222223,40.16939440561159,4,71.0,Basic,Argentina,1,2
U00164,5,75.6,43.940869358718885,71.55555555555556,34.75309738394231,5,27.0,Premium,Peru,3,2
U00165,7,73.85714285714286,34.3726081418939,76.66666666666666,33.302454833576256,7,70.0,Basic,Chile,1,2
U00166,4,58.0,47.75632593349981,56.38888888888889,40.23976494871177,4,43.0,Basic,Chile,1,2
U00167,6,59.166666666666664,41.18454402645083,60.555555555555564,38.820574918940046,6,45.0,Basic,Argentina,1,2
U00168,5,46.2,20.9093280618962,51.33333333333333,23.23258673544023,5,44.0,Standard,Argentina,2,0
U00169,1,116.0,0.0,100.0,0.0,1,50.0,Standard,Colombia,2,1
U00170,4,61.75,23.02715787933891,68.6111111111111,25.585730977043223,4,65.0,Basic,Peru,1,1
U00171,3,52.333333333333336,9.865765724632496,58.14814814814815,10.961961916258325,3,78.0,Premium,Brazil,3,0
U00172,6,43.0,18.878559267062727,47.77777777777777,20.97617696340303,6,22.0,Standard,Mexico,2,0
U00173,11,66.36363636363636,33.14294111050716,70.5050505050505,33.478807139699505,11,73.0,Premium,Brazil,3,2
U00174,6,47.5,39.17014168981267,50.0,38.9174498295375,6,72.0,Standard,Peru,2,2
U00175,5,57.4,20.391174561559716,63.77777777777777,22.656860623955232,5,35.0,Premium,Argentina,3,2
U00176,9,63.0,32.31485726411305,67.90123456790123,33.21016338395562,9,38.0,Standard,Argentina,2,2
U00177,4,50.75,28.894924583162812,56.38888888888889,32.10547175906981,4,44.0,Standard,Argentina,2,2
U00178,5,41.2,37.7783006499763,45.77777777777777,41.97588961108477,5,58.0,Standard,Argentina,2,2
U00179,8,52.125,45.6866266772111,52.361111111111114,43.57254892016707,8,23.0,Standard,Colombia,2,2
U00180,6,58.5,35.478162297390774,60.925925925925924,33.63872450031705,6,55.0,Premium,Colombia,3,2
U00181,5,55.8,37.22499160510315,60.222222222222214,38.96342064229151,5,54.0,Standard,Brazil,2,2
U00182,6,62.166666666666664,36.32308724030305,63.7037037037037,33.04069071309427,6,38.0,Standard,Peru,2,2
U00183,5,46.0,33.71943060017473,50.0,35.477344535754675,5,68.0,Basic,Chile,1,2
U00184,7,31.571428571428573,24.144406825440566,35.07936507936508,26.82711869493396,7,51.0,Basic,Mexico,1,0
U00185,3,44.333333333333336,38.083242158898884,49.25925925925926,42.31471350988765,3,51.0,Standard,Brazil,2,2
U00186,8,61.125,29.014466834913332,66.66666666666667,30.625461159829165,8,29.0,Premium,Chile,3,2
U00187,4,70.0,44.3245605355165,74.72222222222223,46.924990490252505,4,76.0,Standard,Colombia,2,2
U00188,1,67.0,0.0,74.44444444444444,0.0,1,28.0,Basic,Peru,1,1
U00189,7,55.142857142857146,39.321023093796235,55.3968253968254,34.41712519605217,7,77.0,Premium,Mexico,3,2
U00190,3,103.0,15.524174696260024,99.25925925925925,1.2830005981991761,3,35.0,Basic,Brazil,1,1
U00191,3,68.66666666666667,57.74368652357877,67.4074074074074,56.45202632076341,3,74.0,Standard,Chile,2,2
U00192,2,99.0,5.656854249492381,100.0,0.0,2,72.0,Standard,Argentina,2,1
U00193,5,84.8,40.770087073735816,78.88888888888889,32.35604395235786,5,46.0,Basic,Argentina,1,2
U00194,6,53.5,36.93643187964966,54.81481481481482,32.46016869087913,6,34.0,Basic,Colombia,1,2
U00195,8,50.5,38.01879234574096,55.0,40.746993267202676,7,23.0,Standard,Colombia,2,2
U00196,6,64.5,21.37989709984592,70.37037037037037,21.495525422020375,6,60.0,Standard,Brazil,2,2
U00197,3,53.333333333333336,45.003703551300454,54.074074074074076,41.2958810807892,3,74.0,Standard,Brazil,2,2
U00198,5,51.4,17.242389625571047,57.11111111111111,19.15821069507894,5,21.0,Basic,Argentina,1,0
U00199,5,47.8,38.382287581643695,53.11111111111111,42.64698620182633,5,49.0,Standard,Colombia,2,2
U00200,4,82.25,23.725864929790582,85.27777777777777,19.94591452335138,4,67.0,Standard,Brazil,2,1
U00201,4,37.5,5.7445626465380295,41.666666666666664,6.382847385042252,4,22.0,Basic,Mexico,1,0
U00202,8,51.5,34.36360200644197,56.388888888888886,37.00302671256302,8,39.0,Basic,Argentina,1,2
U00203,5,65.4,18.95521036549054,72.66666666666667,21.061344850545044,5,58.0,Basic,Peru,1,1
U00204,7,55.714285714285715,21.48421347341877,61.90476190476191,23.871348303798637,7,66.0,Standard,Colombia,2,2
U00205,5,97.2,27.068431797945,91.11111111111111,19.876159799998135,5,43.0,Standard,Argentina,2,1
U00206,4,68.25,16.09088769044973,75.83333333333333,17.8787641004997,4,64.0,Standard,Brazil,2,1
U00207,10,53.4,31.248822200026815,58.333333333333336,33.21067969105477,10,65.0,Basic,Mexico,1,2
U00208,3,37.666666666666664,26.652079343520896,41.851851851851855,29.613421492801,3,18.0,Basic,Brazil,1,0
U00209,4,76.0,46.66904755831214,75.0,43.58898943540673,4,69.0,Basic,Peru,1,2
U00210,6,55.166666666666664,31.88991481121683,58.333333333333336,30.108856004115182,6,43.0,Standard,Peru,2,2
U00211,2,27.0,4.242640687119285,30.0,4.7140452079103135,2,19.0,Standard,Peru,2,0
U00212,5,37.0,45.90751572455212,35.55555555555556,39.40138494777143,5,73.0,Basic,Brazil,1,2
U00213,4,87.25,36.72760088362248,84.44444444444444,31.11111111111111,4,40.0,Standard,Chile,2,1
U00214,6,57.333333333333336,37.49488854052865,59.444444444444436,34.81698180805198,6,75.0,Basic,Brazil,1,2
U00215,3,46.333333333333336,58.96891836665595,42.96296296296296,51.1634192881108,3,42.0,Standard,Chile,2,2
U00216,5,68.6,23.98541223327212,74.88888888888889,24.852652192223957,4,56.0,Basic,Peru,1,1
U00217,7,64.85714285714286,19.00375902664673,71.26984126984128,19.703862831039824,7,61.0,Basic,Colombia,1,2
U00218,1,38.0,0.0,42.22222222222222,0.0,1,42.0,Standard,Brazil,2,0
U00219,5,46.0,35.33411948810951,48.88888888888889,35.11005624294435,5,62.0,Standard,Chile,2,2
U00220,7,56.714285714285715,38.169421817794955,57.61904761904761,33.96578144588852,7,39.0,Standard,Argentina,2,2
U00221,3,62.333333333333336,42.146569650842686,61.48148148148149,33.358015553178376,3,36.0,Basic,Colombia,1,2
U00222,4,82.5,26.564387187862376,84.16666666666666,21.514183282303023,4,69.0,Standard,Mexico,2,1
U00223,4,37.75,15.945218719101975,41.94444444444444,17.716909687891086,4,62.0,Basic,Argentina,1,0
U00224,4,56.0,47.66550115125194,57.222222222222214,46.20138419175953,4,70.0,Basic,Peru,1,2
U00225,8,71.25,33.08754621131211,75.69444444444444,33.56237447797231,8,72.0,Standard,Peru,2,2
U00226,9,60.77777777777778,33.31582873717004,62.96296296296296,30.061665018819298,9,79.0,Basic,Argentina,1,2
U00227,8,62.375,30.937436868622452,64.44444444444444,26.4274989057364,7,20.0,Standard,Colombia,2,2
U00228,5,51.8,47.918681117075835,52.88888888888889,46.78292397134495,5,41.0,Basic,Mexico,1,2
U00229,2,40.5,16.263455967290593,45.0,18.070506630322882,2,28.0,Premium,Peru,3,0
U00230,5,52.4,35.73933407325884,53.777777777777786,31.05749347958666,5,66.0,Standard,Peru,2,2
U00231,5,73.6,32.074912314767126,74.44444444444444,24.882439640620767,5,74.0,Standard,Brazil,2,1
U00232,8,49.75,31.024184114977142,54.72222222222222,33.59027952111858,8,68.0,Premium,Colombia,3,2
U00233,9,66.0,39.46200704475128,67.28395061728395,37.59396093112674,9,43.0,Basic,Brazil,1,2
U00234,7,50.42857142857143,41.460250613718934,52.857142857142854,41.26027565170635,7,50.0,Standard,Chile,2,2
U00235,8,43.875,40.800691520750334,46.94444444444444,42.71124490010924,7,18.0,Standard,Peru,2,2
U00236,1,53.0,0.0,58.88888888888889,0.0,1,79.0,Basic,Chile,1,0
U00237,6,53.166666666666664,24.846864322619595,58.51851851851851,26.55222356285227,5,60.0,Standard,Peru,2,2
U00238,2,101.5,20.506096654409877,98.33333333333334,2.357022603955145,2,73.0,Basic,Mexico,1,1
U00239,9,51.888888888888886,32.29336017064671,54.44444444444444,29.423472615256358,9,19.0,Basic,Mexico,1,2
U00240,5,68.8,32.51461209979292,72.44444444444443,30.81606122835346,5,18.0,Basic,Argentina,1,2
U00241,7,39.57142857142857,30.407549187973828,43.80952380952381,33.47412945454392,7,26.0,Standard,Peru,2,2
U00242,6,59.0,31.673332631726648,64.25925925925925,33.425182099038885,5,48.0,Premium,Peru,3,2
U00243,8,50.75,37.170456778776035,53.611111111111114,36.7351452899114,8,67.0,Basic,Brazil,1,2
U00244,6,62.0,33.555923471125034,66.1111111111111,33.43503005184684,6,51.0,Basic,Brazil,1,2
U00245,3,57.666666666666664,45.654499595695206,64.07407407407408,50.72722177299467,3,57.0,Standard,Chile,2,2
U00246,5,67.8,37.23842101915708,67.33333333333334,30.13959292572471,5,46.0,Basic,Argentina,1,2
U00247,1,53.0,0.0,58.88888888888889,0.0,1,31.0,Standard,Brazil,2,0
U00248,2,77.0,41.012193308819754,76.66666666666667,32.99831645537221,2,54.0,Premium,Brazil,3,1
U00249,2,61.0,72.12489168102785,55.55555555555556,62.853936105470886,2,43.0,Premium,Argentina,3,2
U00250,4,69.25,38.939054944875075,76.38888888888889,42.84506492558234,4,59.0,Basic,Peru,1,2
U00251,4,87.25,22.45551157288562,88.61111111111111,15.723301886761012,4,68.0,Standard,Argentina,2,1
U00252,7,50.714285714285715,29.57878905406308,56.34920634920634,32.8653211711812,7,32.0,Standard,Argentina,2,2
U00253,4,68.25,29.68024034044648,75.27777777777777,32.39894069294074,4,64.0,Basic,Peru,1,1
U00254,4,78.25,23.935677693908453,82.22222222222223,19.855444672118836,4,57.0,Basic,Brazil,1,1
U00255,7,44.42857142857143,33.26087362481199,47.3015873015873,32.89750351928385,7,23.0,Basic,Brazil,1,2
U00256,8,59.25,35.58791929854849,60.55555555555556,31.410127664965852,8,69.0,Standard,Colombia,2,2
U00257,5,50.2,44.32493654817794,49.777777777777786,38.629292282181694,5,69.0,Standard,Brazil,2,2
U00258,4,58.75,19.585283590832514,65.27777777777777,21.761426212036127,4,55.0,Standard,Colombia,2,1
U00259,10,52.6,37.35773012376421,56.0,38.26196612990765,10,79.0,Basic,Mexico,1,2
U00260,3,101.66666666666667,16.258331197676263,97.77777777777777,3.849001794597516,3,22.0,Premium,Argentina,3,1
U00261,6,56.5,30.924100633648184,62.40740740740741,33.858213195959486,6,55.0,Standard,Chile,2,2
